epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14214.2,0.84792,0.78384,0.01393,0.91379,0.89055,0.94491,0.78107,0.73115,0.46594,0.01435,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14620.9,0.84491,0.78662,0.01388,0.92581,0.87107,0.94971,0.77977,0.73902,0.46269,0.01441,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,15027.7,0.84188,0.77701,0.01389,0.92398,0.89693,0.9524,0.79556,0.70287,0.43447,0.01372,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15433.7,0.83501,0.76583,0.01372,0.9302,0.88895,0.95205,0.7897,0.71476,0.45027,0.01379,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15838.9,0.82686,0.74384,0.0136,0.9458,0.88583,0.9569,0.79016,0.72974,0.42963,0.0142,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,16244.6,0.82115,0.72702,0.0135,0.92478,0.88652,0.95071,0.79599,0.69043,0.43903,0.01344,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16652.3,0.82125,0.72924,0.01351,0.93566,0.88286,0.95376,0.80384,0.68121,0.42922,0.01327,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,17066.6,0.82071,0.72648,0.01342,0.92675,0.88917,0.95133,0.79683,0.70185,0.44131,0.01366,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17485.7,0.81519,0.71727,0.01337,0.92646,0.89594,0.95615,0.80269,0.69004,0.41868,0.01331,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17892.5,0.80446,0.70375,0.01316,0.93422,0.89296,0.95657,0.81288,0.6596,0.4157,0.01286,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18300.4,0.80487,0.70883,0.01324,0.92637,0.91021,0.95808,0.81525,0.65426,0.40936,0.01256,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18706.3,0.80321,0.70261,0.01324,0.93912,0.88727,0.9534,0.81198,0.65093,0.42131,0.01247,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,19111.6,0.79927,0.69283,0.01317,0.92639,0.90377,0.95672,0.8099,0.65689,0.42201,0.01246,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19517.4,0.79437,0.6856,0.01303,0.93164,0.89945,0.95975,0.8187,0.64867,0.40631,0.01232,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19924.1,0.78699,0.67727,0.01284,0.94683,0.89092,0.95922,0.81469,0.65598,0.40365,0.01267,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20331.7,0.78308,0.66738,0.01277,0.93956,0.90197,0.96158,0.82004,0.65002,0.39409,0.01253,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20739.6,0.77733,0.66314,0.01267,0.94418,0.89673,0.963,0.82256,0.64442,0.38532,0.01236,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,21147.6,0.78039,0.65053,0.01272,0.93458,0.90511,0.96148,0.82005,0.6447,0.39903,0.01231,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21554.9,0.77415,0.65103,0.01261,0.93727,0.90765,0.96247,0.82032,0.64616,0.39037,0.01239,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21960.4,0.77185,0.65776,0.01278,0.94491,0.89618,0.9593,0.81895,0.64561,0.4064,0.01227,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22365.8,0.76772,0.64778,0.01247,0.93674,0.90471,0.95904,0.81774,0.64967,0.40347,0.01239,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22772.3,0.75895,0.63349,0.01226,0.9327,0.90899,0.96011,0.8189,0.64985,0.40572,0.01241,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,23180.2,0.75184,0.62842,0.01219,0.93816,0.89414,0.95933,0.82092,0.64208,0.40736,0.0123,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23587.3,0.74867,0.62061,0.01211,0.93408,0.9012,0.9589,0.82346,0.63554,0.40616,0.01215,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,24004.7,0.74178,0.62262,0.01209,0.93822,0.90025,0.95931,0.82398,0.63216,0.40638,0.01213,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24422.6,0.73931,0.60442,0.01201,0.94921,0.89304,0.96036,0.82572,0.62808,0.40473,0.012,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24830.6,0.73702,0.60191,0.01193,0.94626,0.89544,0.96029,0.82943,0.61894,0.40449,0.01178,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,25238.2,0.72847,0.59034,0.01173,0.94156,0.89989,0.96021,0.83007,0.61893,0.40883,0.0118,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25645.9,0.72566,0.59016,0.01165,0.94296,0.89487,0.96075,0.83064,0.61722,0.39827,0.01179,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,26053.6,0.72315,0.5785,0.01171,0.94543,0.89142,0.96099,0.83152,0.61369,0.40072,0.01171,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26461.4,0.7143,0.57114,0.01153,0.93068,0.90363,0.96169,0.83418,0.61267,0.39902,0.01171,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26869.3,0.7217,0.57791,0.01158,0.92981,0.90304,0.96066,0.83248,0.61227,0.40326,0.01173,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27277.2,0.70552,0.56158,0.01135,0.94214,0.89019,0.96028,0.83291,0.6109,0.40049,0.01171,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27697.7,0.70646,0.5626,0.01138,0.9392,0.90057,0.96117,0.83369,0.60854,0.39769,0.01167,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,28111.3,0.69932,0.55111,0.01135,0.93994,0.89774,0.9604,0.83375,0.60931,0.39628,0.01168,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28518,0.70209,0.54923,0.01125,0.93948,0.90113,0.962,0.83519,0.60726,0.3962,0.01165,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28925.4,0.69394,0.54826,0.01116,0.94291,0.89617,0.96208,0.83523,0.60871,0.39566,0.01167,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29332.7,0.68608,0.53285,0.01101,0.94307,0.89891,0.96147,0.83514,0.6075,0.39849,0.01166,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29739.1,0.68262,0.53574,0.01097,0.9419,0.90074,0.96063,0.83568,0.60441,0.39855,0.01159,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30147.2,0.67503,0.52224,0.01079,0.94478,0.89844,0.96062,0.83739,0.60311,0.39734,0.01157,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
