epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13653.3,0.84945,0.78167,0.01405,0.91428,0.87568,0.94338,0.79174,0.68124,0.46574,0.01323,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14075.1,0.84507,0.77501,0.01407,0.92748,0.87402,0.94722,0.79135,0.69315,0.46097,0.01373,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14499.7,0.8393,0.76372,0.01372,0.93552,0.87461,0.94994,0.79509,0.70083,0.44921,0.01383,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,14924.1,0.83939,0.75674,0.01383,0.93417,0.88175,0.95001,0.79478,0.70102,0.44041,0.01394,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15346.1,0.82862,0.7518,0.01373,0.92913,0.88426,0.95181,0.80268,0.6736,0.43832,0.01317,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15767.7,0.8267,0.74466,0.01361,0.93293,0.88185,0.94877,0.80272,0.6784,0.44969,0.01318,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16188.9,0.82648,0.73332,0.01365,0.92166,0.90474,0.9503,0.80057,0.68838,0.44723,0.01355,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16612.5,0.82495,0.73796,0.01348,0.92556,0.88739,0.95033,0.80793,0.66171,0.44914,0.01295,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17035.7,0.81246,0.71314,0.01341,0.93752,0.89162,0.95368,0.809,0.66246,0.42887,0.01288,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17456.8,0.80916,0.70794,0.01327,0.92129,0.88904,0.94884,0.80942,0.65764,0.4375,0.01279,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,17863,0.80304,0.69675,0.01323,0.92993,0.88871,0.95156,0.80536,0.66887,0.44368,0.01284,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18276.6,0.80068,0.70336,0.01311,0.94024,0.86972,0.94749,0.80779,0.64863,0.45664,0.01257,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
